UtcTime,QuaternionNormRaw,ValidQuaternion,BodyRateXDegps,BodyRateYDegps,BodyRateZDegps,TotalRateDegps,StableRateFlag,ElevationDeg,AzimuthDeg,RangeKm,Sunlit,NadirErrorDeg,SunErrorDeg,GroundStationPointingErrorDeg,VisibleFromZhongli,SensorCandidateAtTelemetryTime
22-Apr-2026 05:28:32,0.99234495771935,1,0.014225503,0.05567827,0.021240983,0.0612667450139323,1,-18.2406086361047,153.554112692347,5435.9197767411,1,53.1577413381957,90.0153059455069,106.693577708798,0,0
22-Apr-2026 05:28:42,0.992345309091587,1,0.011440841,0.05072187,0.018683456,0.0552509951692105,1,-17.8522287224967,153.355126261581,5371.25567991773,1,52.7263167138394,89.996216134432,106.421815840271,0,0
22-Apr-2026 05:28:52,0.992345520773003,1,0.016162133,0.050746378,0.01362851,0.0549740457675135,1,-17.461998573511,153.15253657676,5306.47839858357,1,52.3242231298499,89.9970383096122,106.175082417755,0,0
22-Apr-2026 05:29:02,0.992345688877875,1,0.018362718,0.055762567,0.018588489,0.0615807211234176,1,-17.0698514672856,152.946177001216,5241.59201508062,1,51.9267386641784,89.9867281963093,105.922072539755,0,0
22-Apr-2026 05:29:12,0.992346186401325,1,0.015557297,0.045772675,0.016035942,0.0509344549635038,1,-16.6757176038527,152.735871743423,5176.60075543469,1,51.5377500256401,89.9896492604219,105.680328216415,0,0
22-Apr-2026 05:29:22,0.992346785178696,1,0.010252696,0.048221957,0.011008519,0.0505139822499833,1,-16.2795236069508,152.521436709438,5111.50894496193,1,51.1667512569068,90.0090408257605,105.45633385788,0,0
22-Apr-2026 05:29:32,0.992347561392391,1,0.012424079,0.043163642,0.0184735,0.0485667368880431,1,-15.8811924540296,152.302678313231,5046.32103774804,1,50.7971212637343,90.0256447188794,105.229988487342,0,0
22-Apr-2026 05:29:42,0.992347880570676,1,0.022075742,0.053120684,0.015937941,0.059692239167231,1,-15.4806434015813,152.079392202529,4981.04164766562,1,50.4136657661209,90.0240609735209,104.984257133303,0,0
22-Apr-2026 05:29:52,0.992348354352466,1,0.024225915,0.0481042,0.015903307,0.056158919049101,1,-15.0777914807795,151.851363817926,4915.67551196436,1,50.0351149921707,90.0128868957374,104.733229305198,0,0
22-Apr-2026 05:30:02,0.9923488141757,1,0.016382972,0.055633422,0.013344432,0.0595109509282577,1,-14.6725473890103,151.618367031927,4850.22752322512,1,49.6453822565143,89.9981129127572,104.473405468568,0,0
22-Apr-2026 05:30:12,0.992349188622306,1,0.013538777,0.05318469,0.018283838,0.0578464213678087,1,-14.2648173760434,151.380162682444,4784.70276326776,1,49.2630721275507,89.9824174306051,104.215020275589,0,0
22-Apr-2026 05:30:22,0.992349219342455,1,0.013219223,0.04073023,0.015703443,0.0456102797034931,1,-13.854502679763,151.13649899799,4719.10646789368,1,48.8835709422491,89.9789395488927,103.964604235678,0,0
22-Apr-2026 05:30:32,0.992349326580518,1,0.015421313,0.043244183,0.018122528,0.0493589128637599,1,-13.441499369745,150.887110021791,4653.44406183324,1,48.5214875687525,89.989986790739,103.730419694248,0,0
22-Apr-2026 05:30:42,0.992349614113367,1,0.010115668,0.04575608,0.02304578,0.0522211984912356,1,-13.0256981862484,150.631713896553,4587.72119640864,1,48.1607556646131,89.9933298027906,103.490414977415,0,0
22-Apr-2026 05:30:52,0.99234982205247,1,0.017314719,0.045770656,0.020462543,0.0530421352393184,1,-12.6069839035141,150.370013106598,4521.94371596832,1,47.8042745975267,89.9967206838079,103.251026083267,0,0
22-Apr-2026 05:31:02,0.992349895412792,1,0.014478864,0.048309676,0.010388059,0.0514914951010645,1,-12.185235116916,150.101692616944,4456.11769694166,1,47.4535639130707,89.9833571318585,103.001789041728,0,0
22-Apr-2026 05:31:12,0.992350308421681,1,0.014141113,0.043344006,0.015301753,0.0480917620583797,1,-11.7603240242135,149.82641784148,4390.24949014147,1,47.1013683005652,89.9758663541003,102.75430397134,0,0
22-Apr-2026 05:31:22,0.992350436967812,1,0.013856391,0.040887594,0.017709024,0.0466626665085301,1,-11.3321157014317,149.543834637996,4324.34568954208,1,46.7563395785208,89.9845230184065,102.51942184496,0,0
22-Apr-2026 05:31:32,0.992350663123323,1,0.008573207,0.040926836,0.020105414,0.0463975587218459,1,-10.9004678263238,149.253567061347,4258.41317716501,1,46.4016453717453,89.9797654749781,102.269599061641,0,0
22-Apr-2026 05:31:42,0.992351139496134,1,0.008288199,0.050954018,0.01752172,0.0545162073586041,1,-10.4652303856004,148.955214946042,4192.45917044391,1,46.0766849754033,89.981951469026,102.036832196184,0,0
22-Apr-2026 05:31:52,0.992351069328877,1,0.018017301,0.050995808,0.017422922,0.0568221240355863,1,-10.0262448579566,148.64835351873,4126.4911959268,1,45.7348826746333,89.9800732435979,101.791901001754,0,0
22-Apr-2026 05:32:02,0.992351187118365,1,0.01274894,0.0485375,0.022331111,0.0549281612278066,1,-9.58334385444276,148.332530690587,4060.51714018179,1,45.4047480738286,89.9789023666701,101.551384383995,0,0
22-Apr-2026 05:32:12,0.992351354467055,1,0.0124871805,0.056082137,0.01724403,0.0599874348340321,1,-9.13635075222381,148.007264083525,3994.54530550836,1,45.0734289070491,89.9724391733127,101.305168096765,0,0
